一级行业代码,一级行业,二级行业代码,二级行业,三级行业代码,三级行业,股票代码,股票名称,龙头排名,质量分,规模地位分,盈利能力,成长稳定性,现金流质量,同行相对估值,财务稳健与波动,覆盖率,资格状态,生命周期,公式版本,首次进入,最近可见,低估池状态,估值标签,历史估值标签,买入档,现价,合理价值低,合理价值中,合理价值高,低估池as_of
881015.SH,化工,881034.SH,化学制品,881040.SH,食品助剂,600299.SH,安迪苏,2,61.701,91.6667,57.5,36.697,82.6667,86.3636,39.1667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,CHEAP,ATTENTION,8.62,10.27,15.01,18.66,2026-09-07
881015.SH,化工,881034.SH,化学制品,881041.SH,有机硅,600596.SH,新安股份,1,53.4071,78.75,50.0,36.7857,67.9167,69.0,40.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881041.SH,有机硅,603260.SH,合盛硅业,2,30.9184,70.0,7.5,54.5918,37.5,50.0,3.75,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881042.SH,胶黏剂及胶带,300041.SZ,回天新材,1,69.5619,92.5,80.0,87.1429,63.75,61.5,43.125,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881042.SH,胶黏剂及胶带,603681.SH,永冠新材,2,54.9,73.75,31.25,87.5,58.75,73.25,20.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881043.SH,其他化学制品,300910.SZ,瑞丰新材,1,75.4584,92.8635,92.2449,60.9285,60.0167,79.0764,81.4155,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881043.SH,其他化学制品,603181.SH,皇马科技,2,67.9985,84.8406,81.4286,67.8507,58.334,82.0304,34.8089,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881045.SH,合成树脂,605589.SH,圣泉集团,1,66.3853,92.8571,82.1428,85.4978,50.0,71.6667,22.8571,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881045.SH,合成树脂,301216.SZ,万凯新材,2,46.9957,87.1429,35.0,21.1688,51.4286,87.1428,42.8572,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881046.SH,塑料薄膜,601208.SH,东材科技,1,45.9994,100.0,67.8571,81.4286,19.9176,32.4603,8.5714,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881046.SH,塑料薄膜,000973.SZ,佛塑科技,2,60.7277,82.1428,66.4286,54.7403,56.6209,63.4127,60.4396,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881047.SH,改性塑料,600143.SH,金发科技,1,55.2569,100.0,41.579,50.5396,77.4641,86.1754,10.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T03:42:13.612837+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881047.SH,改性塑料,002768.SZ,国恩股份,2,56.7597,94.7368,62.1053,79.6262,50.3828,53.6141,26.0526,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881048.SH,合成革,300180.SZ,华峰超纤,1,47.9365,80.0,20.0,28.5714,96.6667,43.3333,66.6667,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T03:42:13.612837+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881048.SH,合成革,002395.SZ,双象股份,2,61.0,76.6667,70.0,80.0,41.6667,70.0,30.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881049.SH,塑料助剂,300596.SZ,利安隆,1,76.2692,96.9231,87.6923,90.3846,56.3462,88.4616,43.8461,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,41.63,43.17,68.22,121.83,2026-09-07
881015.SH,化工,881044.SH,塑料,881049.SH,塑料助剂,600746.SH,江苏索普,2,60.7637,84.6154,44.2308,38.0769,84.4231,69.011,80.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881050.SH,其他塑料制品,603150.SH,万朗磁塑,1,44.4536,91.8636,28.6364,63.5,75.8134,31.7424,19.5455,1.0,eligible,NEW,value-leader-v3.0.0,2026-09-08T02:28:25.434433+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881044.SH,塑料,881050.SH,其他塑料制品,605488.SH,福莱新材,2,34.9886,89.5,15.9091,56.8846,65.1579,22.9004,13.1818,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881051.SH,橡胶,881052.SH,橡胶助剂,603650.SH,彤程新材,1,46.6667,70.0,100.0,40.0,30.0,30.0,0.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881051.SH,橡胶,881052.SH,橡胶助剂,300121.SZ,阳谷华泰,2,53.3333,30.0,0.0,60.0,70.0,70.0,100.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
