一级行业,二级行业,三级行业代码,三级行业,第1名代码,第1名名称,第1名质量分,第2名代码,第2名名称,第2名质量分,公式版本
建筑,基础建设,881408.SH,基建工程,601390.SH,中国中铁,58.93,601186.SH,中国铁建,52.9111,value-leader-v3.0.0
建筑,基础建设,881409.SH,园林工程,002200.SZ,交投生态,65.2048,603316.SH,诚邦股份,47.2714,value-leader-v3.0.0
建筑,工程咨询服务,881415.SH,工程咨询服务,600720.SH,中交设计,65.0474,003013.SZ,地铁设计,65.981,value-leader-v3.0.0
建筑,房屋建设,881406.SH,房屋建设,601668.SH,中国建筑,83.0,600170.SH,上海建工,51.4222,value-leader-v3.0.0
建筑,装修装饰,881416.SH,装修装饰,601886.SH,江河集团,75.1558,002081.SZ,金 螳 螂,61.3698,value-leader-v3.0.0
房地产,房产服务,881423.SH,物业管理,001914.SZ,招商积余,64.2667,300917.SZ,特发服务,57.9667,value-leader-v3.0.0
房地产,房产服务,881424.SH,租赁经纪,000560.SZ,我爱我家,71.9524,002285.SZ,世联行,27.5476,value-leader-v3.0.0
房地产,房地产开发,881419.SH,住宅开发,600048.SH,保利发展,66.5824,001979.SZ,招商蛇口,60.9962,value-leader-v3.0.0
房地产,房地产开发,881420.SH,商业地产,600663.SH,陆家嘴,66.1333,600007.SH,中国国贸,78.1333,value-leader-v3.0.0
房地产,房地产开发,881421.SH,产业地产,600848.SH,上海临港,42.1125,600895.SH,张江高科,47.5,value-leader-v3.0.0
有色,工业金属,881072.SH,铜,601899.SH,紫金矿业,80.8451,600362.SH,江西铜业,56.5353,value-leader-v3.0.0
有色,工业金属,881073.SH,铝,002379.SZ,宏桥控股,65.2319,601600.SH,中国铝业,68.0127,value-leader-v3.0.0
有色,工业金属,881074.SH,铅锌,000426.SZ,兴业银锡,66.8734,600497.SH,驰宏锌锗,47.901,value-leader-v3.0.0
有色,稀有金属,881083.SH,稀土,600111.SH,北方稀土,62.4445,600392.SH,盛和资源,61.3333,value-leader-v3.0.0
有色,稀有金属,881084.SH,钨钼,603993.SH,洛阳钼业,75.5143,600549.SH,厦门钨业,55.4976,value-leader-v3.0.0
有色,稀有金属,881085.SH,钛,688122.SH,西部超导,61.1667,600456.SH,宝钛股份,35.9667,value-leader-v3.0.0
有色,稀有金属,881086.SH,其他金属,001280.SZ,中国铀业,69.2956,000960.SZ,锡业股份,60.7071,value-leader-v3.0.0
有色,能源金属,881079.SH,锂,002460.SZ,赣锋锂业,51.6444,002466.SZ,天齐锂业,64.254,value-leader-v3.0.0
有色,能源金属,881081.SH,钴,603799.SH,华友钴业,56.6667,600711.SH,盛屯矿业,45.5556,value-leader-v3.0.0
有色,贵金属,881076.SH,黄金,600547.SH,山东黄金,43.3796,600489.SH,中金黄金,56.6111,value-leader-v3.0.0
有色,贵金属,881077.SH,白银,002716.SZ,湖南白银,16.0,000603.SZ,盛达资源,84.0,value-leader-v3.0.0
有色,金属新材料,881088.SH,磁性材料,300748.SZ,金力永磁,54.1333,600366.SH,宁波韵升,44.5542,value-leader-v3.0.0
有色,金属新材料,881089.SH,其他金属新材料,603124.SH,江南新材,32.3051,601137.SH,博威合金,38.5095,value-leader-v3.0.0
机械设备,专用设备,881304.SH,能源及重型设备,601717.SH,中创智领,71.9613,002353.SZ,杰瑞股份,62.3116,value-leader-v3.0.0
机械设备,专用设备,881305.SH,印刷包装机械,002611.SZ,东方精工,62.9875,688789.SH,宏华数科,74.7976,value-leader-v3.0.0
机械设备,专用设备,881306.SH,纺织服装设备,603337.SH,杰克科技,84.7556,002006.SZ,精工科技,69.7482,value-leader-v3.0.0
机械设备,专用设备,881307.SH,农用机械,601038.SH,一拖股份,66.9,002779.SZ,中坚科技,55.5387,value-leader-v3.0.0
机械设备,专用设备,881308.SH,楼宇设备,600835.SH,上海机电,49.2803,600894.SH,广日股份,65.6894,value-leader-v3.0.0
机械设备,专用设备,881309.SH,其他专用设备,002595.SZ,豪迈科技,73.4848,301200.SZ,大族数控,53.1752,value-leader-v3.0.0
机械设备,工程机械,881311.SH,工程机械整机,600031.SH,三一重工,48.168,000425.SZ,徐工机械,53.5023,value-leader-v3.0.0
机械设备,工程机械,881312.SH,工程机械零件,601100.SH,恒立液压,65.8579,603638.SH,艾迪精密,63.5613,value-leader-v3.0.0
机械设备,自动化设备,881314.SH,机器人,002747.SZ,埃斯顿,56.4581,300607.SZ,拓斯达,60.203,value-leader-v3.0.0
机械设备,自动化设备,881315.SH,工业控制设备,300124.SZ,汇川技术,65.3933,688777.SH,中控技术,36.7438,value-leader-v3.0.0
机械设备,自动化设备,881316.SH,激光设备,000988.SZ,华工科技,67.4727,002008.SZ,大族激光,65.7394,value-leader-v3.0.0
机械设备,自动化设备,881317.SH,其他自动化设备,603082.SH,北自科技,36.0754,,,,value-leader-v3.0.0
机械设备,轨交设备,881293.SH,轨交设备,601766.SH,中国中车,64.1842,688187.SH,时代电气,72.3551,value-leader-v3.0.0
机械设备,通用设备,881295.SH,仪器仪表,688808.SH,联讯仪器,47.1006,603100.SH,川仪股份,63.296,value-leader-v3.0.0
机械设备,通用设备,881296.SH,机床制造,300083.SZ,创世纪,24.044,601882.SH,海天精工,63.201,value-leader-v3.0.0
机械设备,通用设备,881297.SH,机械基础件,603699.SH,纽威股份,78.3906,603308.SH,应流股份,48.5008,value-leader-v3.0.0
机械设备,通用设备,881298.SH,金属制品,000039.SZ,中集集团,50.2399,600114.SH,东睦股份,68.2206,value-leader-v3.0.0
机械设备,通用设备,881299.SH,内燃机,000880.SZ,潍柴重机,62.0,600218.SH,全柴动力,37.3333,value-leader-v3.0.0
机械设备,通用设备,881300.SH,制冷空调设备,000811.SZ,冰轮环境,49.6488,301018.SZ,申菱环境,43.5696,value-leader-v3.0.0
机械设备,通用设备,881301.SH,磨具磨料,300861.SZ,美畅股份,63.4667,300179.SZ,四方达,55.6167,value-leader-v3.0.0
机械设备,通用设备,881302.SH,其他通用设备,002444.SZ,巨星科技,78.7962,001696.SZ,宗申动力,48.7814,value-leader-v3.0.0
汽车,乘用车,881213.SH,电动乘用车,002594.SZ,比亚迪,75.0,600733.SH,北汽蓝谷,22.2857,value-leader-v3.0.0
汽车,乘用车,881214.SH,综合乘用车,600104.SH,上汽集团,54.1333,601633.SH,长城汽车,78.8,value-leader-v3.0.0
汽车,商用车,881216.SH,商用载货车,000951.SZ,中国重汽,57.781,000800.SZ,一汽解放,47.3619,value-leader-v3.0.0
汽车,商用车,881217.SH,商用载客车,600066.SH,宇通客车,76.0,600686.SH,金龙汽车,51.75,value-leader-v3.0.0
汽车,摩托车及其他,881228.SH,摩托车,603129.SH,春风动力,70.2667,603766.SH,隆鑫通用,57.4667,value-leader-v3.0.0
汽车,摩托车及其他,881229.SH,其他交通设备,689009.SH,九号公司-WD,72.4,603529.SH,爱玛科技,66.7381,value-leader-v3.0.0
汽车,汽车服务,881225.SH,汽车经销商,600335.SH,国机汽车,75.0556,600822.SH,上海物贸,52.1111,value-leader-v3.0.0
汽车,汽车服务,881226.SH,汽车综合服务,601965.SH,中国汽研,76.8333,301215.SZ,中汽股份,81.8333,value-leader-v3.0.0
汽车,汽车零部件,881219.SH,车身附件及饰件,600660.SH,福耀玻璃,77.5776,600741.SH,华域汽车,54.8949,value-leader-v3.0.0
汽车,汽车零部件,881220.SH,底盘与发动机系统,000338.SZ,潍柴动力,53.3072,002126.SZ,银轮股份,52.0302,value-leader-v3.0.0
汽车,汽车零部件,881221.SH,轮胎轮毂,603049.SH,中策橡胶,61.9356,601058.SH,赛轮轮胎,71.6431,value-leader-v3.0.0
汽车,汽车零部件,881222.SH,其他汽车零部件,000887.SZ,中鼎股份,58.6159,600480.SH,凌云股份,58.2952,value-leader-v3.0.0
汽车,汽车零部件,881223.SH,汽车电子电气系统,002920.SZ,德赛西威,68.8704,600699.SH,均胜电子,48.8563,value-leader-v3.0.0
